Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
2,2019-01-25 07:30:26,43.021,-110.1215,Daniel,WY,,US Highway 191,At BLM-5201 - Accident. Jackknifed articulated truck. Roadway reduced to 1 lane.
2,2018-05-04 09:02:40,42.8599,-106.048,Glenrock,WY,147, E US Highway 20-26,At Peirce Ct - Accident.
2,2017-10-25 12:56:42,41.1146,-104.8508,Cheyenne,WY,,US-87 N,Ramp to Exit 8B - Accident.
3,2018-11-25 01:22:49,41.7277,-107.7283,Wamsutter,WY,,WY-789,Entry ramp to I-80 Eastbound from WY-789 both ways closed due to winter storm.
3,2018-01-24 00:47:33,41.562,-109.5417,Green River,WY,,Overland Blvd,Right lane blocked due to accident on I-80 Westbound after Exit 85 Overland Blvd.
4,2017-02-01 12:06:00,44.557,-107.7359,Shell,WY,1835, US Highway 14 E,Closed at US-14/Bighorn Scenic Bywy - Road closed due to accident.
3,2018-11-25 01:22:49,41.2922,-105.5296,Laramie,WY,4626,Oriole Ln,Entry ramp to I-80 Westbound from E Grand Ave Eastbound closed due to winter storm.
2,2016-06-29 13:58:09,41.7736,-107.0744,Sinclair,WY,,US-287 N,At WY-76/Exit 221 - Accident.
4,2020-04-10 05:54:22,41.5396,-106.0802,Rock River,WY,,I-80 E,Closed between Cooper Cove Road/Exit 279 and Quealy Dome Rd/Exit 290 - Road closed due to accident.
4,2016-12-11 01:50:54,41.2596,-110.9581,Evanston,WY,,I-80 E,Closed between WY-150/Front St/Exit 5 and WY-412/WY-414/Exit 39 - Road closed due to accident.
4,2016-11-22 08:39:00,41.1254,-105.313,Laramie,WY,,US-30 E,Closed between Vedauwoo Rd/Exit 329 and Roundtop Rd - Road closed due to accident.
4,2017-07-19 13:27:29,43.6895,-109.9594,Dubois,WY,3415, US Highway 26,Closed between Bourbon St and US-191/US-89 - Road closed due to accident.
4,2019-01-17 21:39:06,41.5522,-105.6816,Bosler,WY,2, State Highway 34,Closed between US-287/US-30 and US-30/US-287/WY-130/Exit 235 - Road closed due to accident. emergency vehicles at scene.
