State,Severity,Year,Month,Day,Counter
AL,2,2018,April,27,18
AL,2,2018,April,29,1
AL,2,2018,April,30,14
AL,2,2018,August,01,10
AL,2,2018,August,02,8
AL,2,2018,August,03,9
AL,2,2018,August,04,1
AL,2,2018,August,05,1
AL,2,2018,August,06,10
AL,2,2018,August,07,11
AL,2,2018,August,08,11
AL,2,2018,August,09,7
AL,2,2018,August,10,18
AL,2,2018,August,11,1
AL,2,2018,August,12,3
AL,2,2018,August,13,17
AL,2,2018,August,14,16
AL,2,2018,August,15,12
AL,2,2018,August,16,16
AL,2,2018,August,17,20
AL,2,2018,August,18,3
AL,2,2018,August,19,4
AL,2,2018,August,20,16
AL,2,2018,August,21,15
AL,2,2018,August,22,18
AL,2,2018,August,23,21
AL,2,2018,August,24,13
AL,2,2018,August,25,3
AL,2,2018,August,26,1
AL,2,2018,August,27,9
AL,2,2018,August,28,13
AL,2,2018,August,29,24
AL,2,2018,August,30,17
AL,2,2018,August,31,15
AL,2,2018,December,01,6
AL,2,2018,December,02,4
AL,2,2018,December,03,28
AL,2,2018,December,04,18
AL,2,2018,December,05,33
AL,2,2018,December,06,25
AL,2,2018,December,07,24
AL,2,2018,December,08,9
AL,2,2018,December,09,2
AL,2,2018,December,10,31
AL,2,2018,December,11,30
AL,2,2018,December,12,25
AL,2,2018,December,13,31
AL,2,2018,December,14,33
AL,2,2018,December,15,3
AL,2,2018,December,16,3
AL,2,2018,December,17,37
AL,2,2018,December,18,25
AL,2,2018,December,19,39
AL,2,2018,December,20,33
AL,2,2018,December,21,24
AL,2,2018,December,22,4
AL,2,2018,December,23,5
AL,2,2018,December,24,14
AL,2,2018,December,25,7
AL,2,2018,December,26,2
AL,2,2018,December,27,18
AL,2,2018,December,28,14
AL,2,2018,December,29,6
AL,2,2018,December,30,1
AL,2,2018,December,31,16
AL,2,2018,February,01,9
AL,2,2018,February,02,16
AL,2,2018,February,03,4
AL,2,2018,February,05,3
AL,2,2018,February,06,4
AL,2,2018,February,07,13
AL,2,2018,February,08,7
AL,2,2018,February,09,10
AL,2,2018,February,10,2
AL,2,2018,February,11,4
